Company,Job Title,Location,Post Date,Workplace Type,Job Type,Position Type
Tim Hortons,"Sr. Analyst, Digital Analytics, Tim Hortons, Canada","Toronto, ON",4 days ago,On-site,Full-time,
Trellis Society,Data Analyst,"Calgary, AB",2 weeks ago,On-site,Full-time,Entry Level
theScore,"Data Analyst, Marketing","Toronto, ON",3 weeks ago,Hybrid,Full-time,Mid-Senior Level
Sobeys,Retail Insights Data Specialist,"Stellarton, NS",1 week ago,Hybrid,Full-time,Mid-Senior Level
Sanofi,Statistician,"Toronto, ON",Reposted 1 week ago,,Full-time,Mid-Senior Level
Campus4Tech,Are You A Risk Manager Looking To Transition Your Career To Become Data Analyst,Canada,3 days ago,Remote,Full-time,Mid-Senior Level
Photon,Data Analyst,"Toronto, ON",19 hours ago,On-site,Full-time,Entry Level
The University of British Columbia,Business Intelligence Specialist,Greater Vancouver Metropolitan Area,9 hours ago,On-site,Full-time,Entry Level
Altea Healthcare,SQL Data Analyst,"Burnaby, BC",6 days ago,On-site,Full-time,
Conestoga College,Senior Business Data Analyst,"Kitchener, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level
Lumerate,Senior Data Analyst,"Toronto, ON",5 days ago,Hybrid,Full-time,Mid-Senior Level
CBC/Radio-Canada,"Senior Business Analyst, Data Analytics (T & I) (Telework/Hybrid)","Montreal, QC",1 day ago,Hybrid,Full-time,Mid-Senior Level
JTI,"Analyste - Solutions d'affaires, Service des Technologies numériques et de l'information","Mississauga, ON",Reposted 5 days ago,On-site,Full-time,Associate
Meltwater,"Analyst, GTM Planning & Analytics","Toronto, ON",Reposted 6 days ago,Hybrid,Full-time,Entry Level
Outlier,Work from Home - AI Math Analyst,"Niagara Falls, ON",3 days ago,Remote,Full-time,Mid-Senior Level
Independent Mechanical Supply,Data Analyst,"Mississauga, ON",6 days ago,On-site,Full-time,
CIBC,"Senior Analyst, Risk Analytics and Portfolio Management","Toronto, ON",1 week ago,,Full-time,Mid-Senior Level
Luxoft,Senior Data Analyst,"Toronto, ON",3 weeks ago,On-site,Full-time,Mid-Senior Level
Digital Research Alliance of Canada | Alliance de recherche numérique du Canada ,Cybersecurity Data Analyst,Canada,4 days ago,Remote,Full-time,Mid-Senior Level
ClifyX,"BI - SSIS, SSRS","Toronto, ON",3 months ago,On-site,Full-time,Mid-Senior Level
Tata Consultancy Services,Data Analyst - GCP,"Mississauga, ON",2 weeks ago,On-site,Full-time,
Merkle,"Lead Analyst, Analytics",Canada,Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level
TekRek,Senior Data Analyst,"Toronto, ON",3 weeks ago,Remote,,Mid-Senior Level
Outlier,AI Math Analyst,"Whitby, ON",4 days ago,Remote,Full-time,
Outlier,AI Math Analyst,"Newmarket, ON",3 days ago,Remote,Full-time,Mid-Senior Level
The Whitestone Group,Business Intelligence Specialist,"Toronto, ON",1 day ago,On-site,,
Campus4Tech,Are You A Maintenance Technician Looking To Transition Your Career To Become Data Analyst,Canada,5 days ago,Remote,Full-time,Associate
TELUS Digital,Online Data Analyst,"Rouyn-Noranda, QC",2 weeks ago,Remote,,Entry Level
Sobeys,"Analyst Business Intelligence, Contract","Stellarton, NS",4 days ago,Hybrid,,Entry Level
Outlier,AI Math Analyst,"Vaughan, ON",2 weeks ago,Remote,Full-time,
Campus4Tech,Are You A Quality Control Inspector Looking To Transition Your Career To Become Data Analyst,Canada,3 days ago,Remote,Full-time,Associate
eSentire,Threat Intelligence Analyst,"Waterloo, ON",5 days ago,Hybrid,Full-time,Mid-Senior Level
CAE,C-IT-105 Data Analyst,"Montreal, Quebec, Canada",Reposted 6 days ago,,Full-time,Mid-Senior Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Ottawa, ON",1 week ago,Remote,Part-time,Entry Level
Sunnybrook,Data Analyst (DAD/NACRS Coder) - Decision Support - Temporary Full-Time 2024-7887 (2024-7887),"Toronto, ON",4 months ago,On-site,Full-time,Entry Level
Warman O'Brien,Principal biostatistician,"Ontario, Canada",2 weeks ago,Hybrid,Full-time,
Pratt & Whitney Canada,Stage-Hiver-Analyste de données / Internship-Winter-Data Analyst,"Longueuil, QC",Reposted 6 days ago,On-site,Full-time,Mid-Senior Level
Sobeys,"Analyst Business Intelligence, Contract","Calgary, AB",4 days ago,Hybrid,,Entry Level
ResMed,Data Science Analyst (m/w/d),"Saint-Augustin-de-Woburn, QC",3 days ago,,Full-time,
Picton Mahoney Asset Management,"Analyst, Sales Intelligence","Toronto, ON",5 days ago,Hybrid,Full-time,Mid-Senior Level
Capital One,"Senior Associate, Data Analyst","Toronto, ON",Reposted 1 week ago,,Full-time,Associate
VTRAC Consulting Corporation (WBE),"Senior Actuary ( SAS, SQL, and Excel)",Greater Kitchener-Cambridge-Waterloo Metropolitan Area,2 weeks ago,Hybrid,Full-time,Mid-Senior Level
Zendesk,"Senior Analyst, Enterprise Analytics","Toronto, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level
Ascendion,Business Data Analyst,Canada,2 weeks ago,Remote,Full-time,
Scotiabank - Global Banking and Markets,Database Analyst Advisory,"Scarborough, ON",6 days ago,Hybrid,Full-time,Entry Level
Ottawa Sports and Entertainment Group (OSEG),"Intern, Business Intelligence Analyst","Ottawa, ON",1 week ago,On-site,,
CareRx Corporation,Power BI Specialist,"Toronto, ON",1 month ago,Hybrid,Full-time,Mid-Senior Level
Outlier,AI Math Analyst,"Caledon, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level
WorkJam,BI Data Analyst Intern | Stagiaire en analyse de données BI,"Montreal, QC",1 week ago,Hybrid,,
LCBO,Sr. Process Analyst (Master Data / Data Migration Specialist) - 12 Months Contract,"Toronto, ON",1 week ago,Hybrid,Full-time,Mid-Senior Level
Outlier,Work from Home - AI Math Analyst,"Clarington, ON",3 days ago,Remote,Full-time,
Desjardins,"Analyst, Data valorization- EN","Montreal, QC",16 hours ago,Hybrid,Full-time,Mid-Senior Level
TextNow,"Staff Data Analyst, Core Experience","Toronto, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level
HireKeyz Inc,"Data Analyst (Capital Markets, SQL, Python)","Mississauga, ON",1 week ago,On-site,,Associate
Metrolinx,Senior Business Intelligence Performance Analyst,"Greater Toronto Area, Canada",1 week ago,Hybrid,Full-time,Mid-Senior Level
LGM Financial Services,Junior Data Analyst Pricing,"Vancouver, BC",1 week ago,On-site,Full-time,Entry Level
TELUS Digital,Online Data Analyst,"Saint-Eustache, QC",2 weeks ago,Remote,,Entry Level
Clarivate,Senior Healthcare Research & Data Analyst- Market Expert,"Toronto, ON",Reposted 3 days ago,Hybrid,Full-time,Mid-Senior Level
"J.D. Irving, Limited",Sales & Marketing Data Analyst,"Dieppe, NB",1 week ago,,Full-time,Entry Level
TELUS Digital,Online Data Analyst,"Terrebonne, QC",2 weeks ago,Remote,,Entry Level
RSM Canada,Business Intelligence Consulting Intern - Summer 2025,"Edmonton, AB",Reposted 2 weeks ago,Hybrid,Full-time,
CIBC,"Associate, Quantitative Rotational Program (QRP)","Toronto, ON",1 week ago,,Full-time,Mid-Senior Level
Outlier,AI Math Analyst,"Richmond Hill, ON",3 days ago,Remote,Full-time,Mid-Senior Level
Outlier,AI Math Analyst,"Clarington, ON",3 days ago,Remote,Full-time,Mid-Senior Level
Flexiti,Senior Data Analyst,"Toronto, ON",1 week ago,,Full-time,Mid-Senior Level
TELUS Digital,Online Data Analyst,"Victoriaville, QC",2 weeks ago,Remote,,Entry Level
Ontario Health | Santé Ontario,"Lead Business Analyst, Data Governance","Toronto, ON",5 days ago,Hybrid,Full-time,Mid-Senior Level
BDC,DATA ANALYST,"Montreal, QC",1 week ago,Hybrid,Full-time,Mid-Senior Level
Bombardier,"Analyst, Data & Business Intelligence","Dorval, QC",Reposted 2 weeks ago,On-site,Full-time,Mid-Senior Level
AMD,"Data Analyst Intern/Co-Op (Undergrad | Summer, 2025 | Onsite/Hybrid)","Oro-Medonte, Ontario, Canada",1 month ago,On-site,Full-time,
Diverse Lynx,Data Governance Analyst,"London, ON",1 month ago,On-site,,Entry Level
Outlier,AI Math Analyst,"Aurora, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level
Outlier,AI Math Analyst,"Niagara Falls, ON",3 days ago,Remote,Full-time,Mid-Senior Level
Outlier,AI Math Analyst,"Norfolk County, ON",3 days ago,Remote,Full-time,
TELUS Digital,Online Data Analyst,"St-Hyacinthe, QC",2 weeks ago,Remote,,Entry Level
HireKeyz Inc,Dataiku Data Analyst,"Mississauga, ON",2 weeks ago,On-site,,Associate
theScore,"Data Analyst, Enterprise","Toronto, ON",3 weeks ago,Hybrid,Full-time,Mid-Senior Level
TELUS Digital,Online Data Analyst,"Thérèse-De Blainville Regional County Municipality, QC",1 week ago,Remote,,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Québec, QC",3 weeks ago,Remote,Part-time,Entry Level
TELUS Digital,Online Data Analyst,"Laprairie, QC",2 weeks ago,Remote,,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Quebec, Canada",3 weeks ago,Remote,Part-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Blainville, QC",3 weeks ago,Remote,Part-time,Entry Level
Haventree Bank,Business Data Analyst,"Toronto, ON",22 hours ago,Hybrid,Full-time,Associate
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Ontario, Canada",Reposted 5 days ago,Remote,Full-time,Entry Level
Warman O'Brien,Principal Biostatistician,Canada,1 day ago,Remote,Full-time,Mid-Senior Level
BMO,"Senior Data Analyst, Analytics and Visualization","Toronto, ON",17 hours ago,,Full-time,Mid-Senior Level
Peroptyx,Data Analyst - Search (0 Experience Required),Canada,4 hours ago,Remote,,Entry Level
Microsoft,Principal Data Scientist,"Vancouver, BC",1 week ago,On-site,Full-time,Mid-Senior Level
TELUS Digital AI Data Solutions,Online Data Analyst,Greater Quebec City Metropolitan Area,2 weeks ago,Remote,Part-time,Entry Level
Concentrix,Senior Analyst Global Analytic Insights (Hybrid),"Chatham, ON",Reposted 1 week ago,Hybrid,Full-time,Mid-Senior Level
Hootsuite,Strategic Customer Insights Analyst,"Vancouver, BC",1 week ago,Hybrid,Full-time,
TELUS Digital,Online Data Analyst,"Beloeil, QC",2 weeks ago,Remote,,Entry Level
Affirm,"Analyst I, Growth Analytics","Edmonton, AB",Reposted 2 weeks ago,Remote,Full-time,Associate
Outlier,AI Math Analyst,"Kawartha Lakes, ON",3 days ago,Remote,Full-time,Mid-Senior Level
Longbow Advantage,Business Intelligence Analyst,"Ontario, Canada",3 weeks ago,On-site,Full-time,Entry Level
Longbow Advantage,Business Intelligence Analyst,"Mississauga, ON",4 months ago,On-site,Full-time,Entry Level
Soucy,BI (Business Intelligence) analyst,"Drummondville, QC",3 weeks ago,Hybrid,Full-time,Entry Level
Alludo,BI Analyst,"Toronto, ON",Reposted 1 week ago,Remote,Full-time,Associate
Diverse Lynx,Data/Business Analyst,"Toronto, ON",4 months ago,On-site,,Entry Level
Hillsdale Investment Management Inc.,Quantitative Analyst,"Greater Toronto Area, Canada",4 weeks ago,Hybrid,Full-time,Associate
Mistplay,"Analyste de données séniore I, produit et expérimentation // Senior Data Analyst I, Product & Experimentation","Montreal, QC",Reposted 2 weeks ago,Hybrid,Full-time,Mid-Senior Level
Hunter Bond,Graduate Python Engineer (Quant Fund) – up to $150k + Bonus – Montreal (Hybrid),Greater Montreal Metropolitan Area,3 days ago,Hybrid,Full-time,Associate
Wirehead,Senior Business Intelligence Consultant,"Toronto, ON",1 hour ago,Hybrid,,Mid-Senior Level
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Toronto, ON",Reposted 5 days ago,Remote,Full-time,Entry Level
AstraZeneca,Senior Statistician,"Mississauga, ON",20 hours ago,,Full-time,Associate
TELUS Digital,Online Data Analyst,"Sorel-Tracy, QC",2 weeks ago,Remote,,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Lanaudière, QC",2 weeks ago,Remote,Part-time,Entry Level
City of Toronto,SENIOR INFORMATION ANALYST,"Toronto, ON",2 weeks ago,On-site,Full-time,Mid-Senior Level
Affirm,"Analyst I, Growth Analytics","Winnipeg, MB",Reposted 2 weeks ago,Remote,Full-time,Associate
Lightci (Light Consulting),Senior Data Analyst (Hybrid),"Toronto, ON",3 days ago,Hybrid,Full-time,Associate
TELUS Digital,Online Data Analyst,"Brossard, QC",2 weeks ago,Remote,,
AGF Investments,Intermediate Operations Data Support Analyst (24 month contract),"Toronto, ON",6 days ago,On-site,,Entry Level
TELUS Digital,Online Data Analyst,"Magog, QC",2 weeks ago,Remote,,Entry Level
"Varsity Tutors, a Nerdy Company",Remote Econometrics Tutor,"Sherbrooke, QC",Reposted 5 days ago,Remote,Full-time,Entry Level
Affirm,"Analyst II, Forecasting Analytics","Toronto, ON",1 week ago,Remote,Full-time,Associate
St. Michael's Hospital,"Business Informatics, Analytics & Operations Consultant II","Toronto, ON",19 hours ago,On-site,Full-time,
Outhire Inc.,"Senior Analyst, Business Intelligence","Toronto, ON",3 days ago,Hybrid,Full-time,Mid-Senior Level
Suncor,Masters Data Science Student - January 2025,"Calgary, AB",Reposted 2 weeks ago,On-site,Full-time,
Defence Construction Canada,Information Management Analyst,"Ottawa, ON",1 week ago,,Full-time,Mid-Senior Level
Oak Valley Health,Health Information Management HIM Data Quality Analyst - Full Time - Markham Site,"Markham, ON",2 weeks ago,On-site,Full-time,Entry Level
Ascendion,Power BI Business Data Analyst,Canada,2 weeks ago,Remote,Full-time,
Outlier,AI Math Analyst,"Ajax, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Les Laurentides Regional County Municipality, QC",2 weeks ago,Remote,Part-time,Entry Level
BMO,Senior Campaign Data Analyst,"Toronto, ON",Reposted 2 weeks ago,,Full-time,Mid-Senior Level
Practice Better,"Senior Analyst, Data & BI",Canada,1 week ago,Remote,Full-time,Mid-Senior Level
Sony Interactive Entertainment,Senior Game Data Analyst,Canada,Reposted 6 days ago,Remote,Full-time,Mid-Senior Level
Gateway Casinos and Entertainment Limited,Data Analyst,"Burnaby, BC",1 month ago,On-site,Full-time,Entry Level
KYYBA Inc,Reporting and innovation data analyst,"Montreal, QC",1 week ago,On-site,,
Scotiabank,Senior Analyst Financial Analytics & Business Intelligence- International Banking Finance (6 month),"Toronto, ON",1 week ago,On-site,,Mid-Senior Level
Fraser Health Authority,Data Analyst,"Surrey, BC",6 days ago,On-site,Full-time,
Klick,"Senior Analyst, Marketing Analytics","Toronto, ON",Reposted 3 days ago,Hybrid,Full-time,Mid-Senior Level
"Connor, Clark & Lunn Financial Group (CC&L)","Data Analyst, Investment Data Management","Vancouver, BC",Reposted 6 days ago,Hybrid,Full-time,Entry Level
Robert Half,Business Intelligence (BI) Analyst,"Edmonton, AB",5 days ago,On-site,Full-time,Mid-Senior Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Nunavut, Canada",2 weeks ago,Remote,Part-time,Entry Level
BNP Paribas,Analyst – IT Data & control analyst,"Montreal, QC",1 week ago,Hybrid,Full-time,Mid-Senior Level
CIBC,"Sr. Analyst, Advanced Analytics","Toronto, ON",Reposted 4 days ago,,Full-time,Mid-Senior Level
Tata Consultancy Services,"Axion Consultant-SQL, Power BI, PL/SQL, SSIS","Toronto, ON",1 week ago,On-site,Full-time,Mid-Senior Level
Bank of Canada,"Business Analyst, HR Systems Support","Ottawa, Ontario, Canada",5 days ago,Hybrid,Full-time,Entry Level
Owner.com,"Data Analyst, Product",Canada,13 hours ago,Remote,Full-time,Mid-Senior Level
International Air Transport Association (IATA),"Intern, Market & Consumer Insights","Montreal, QC",Reposted 6 hours ago,Hybrid,Full-time,
RBC,"Senior Analyst, IAM Access Request Reporting & Analysis (GCS)","Toronto, ON",19 hours ago,Hybrid,Full-time,Mid-Senior Level
WSP in Canada,"HR Analyst, Reporting & Analytics","Alberta, Canada",Reposted 4 days ago,Hybrid,,
Lundbeck,Business Insights Analyst,"Montreal, QC",Reposted 2 weeks ago,,Full-time,Associate
NumerixS Technologies (NumerixS Quant),Quantitative Analyst (PhD Required),"Vancouver, BC",1 month ago,On-site,Full-time,Mid-Senior Level
Outlier,AI Math Analyst,"Oakville, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level
SPECTRAFORCE,Reporting and Innovation Data Analyst,"Montreal, QC",1 week ago,On-site,Full-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Québec, QC",1 week ago,Remote,Part-time,Entry Level
hims & hers,"Lead Data Analyst, Product","Vancouver, BC",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level
Pratt & Whitney Canada,Stage-Hiver-Analyse de la base de données des matériaux et collecte d'informations / Internship -Winter-Materials database analysis and data collection,"Longueuil, QC",Reposted 5 days ago,On-site,Full-time,
"Global Technical Talent, an Inc. 5000 Company",Senior Business Intelligence Specialist,"Toronto, ON",3 days ago,Hybrid,,Entry Level
TELUS Digital,Online Data Analyst,"Quebec City metropolitan community, QC",1 week ago,Remote,,Entry Level
Lyft,Data Analyst - Strategic Planning and P&L Management,"Toronto, ON",1 week ago,,Full-time,Mid-Senior Level
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Kitchener, ON",Reposted 5 days ago,Remote,Full-time,Entry Level
TELUS Digital,Online Data Analyst,"Vaudreuil-Soulanges Regional County Municipality, QC",1 week ago,Remote,,Entry Level
Precision Medicine Group,Senior Biostatistician,Canada,1 week ago,Remote,Full-time,Mid-Senior Level
AstraZeneca,Senior Statistician I/II,"Mississauga, ON",3 days ago,,Full-time,Associate
City of Greater Sudbury,Business Intelligence Analyst,"Greater Sudbury, ON",21 hours ago,Remote,Full-time,Mid-Senior Level
People Corporation,Benefits Analyst/Business Intelligence Analyst,"Vancouver, BC",5 hours ago,On-site,Full-time,Entry Level
Sun Life,Senior Data Analyst,"Toronto, ON",Reposted 2 days ago,,Full-time,Mid-Senior Level
Zendesk,"Senior Analyst, Enterprise Analytics","Toronto, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level
Affirm,"Analyst II, Forecasting Analytics","Windsor, ON",Reposted 1 week ago,Remote,Full-time,Associate
Affirm,"Analyst II, Forecasting Analytics","Kitchener, ON",Reposted 1 week ago,Remote,Full-time,Associate
TELUS Digital AI Data Solutions,Online Data Analyst,"Newfoundland and Labrador, Canada",2 weeks ago,Remote,Part-time,Entry Level
University of Notre Dame,Postdoctoral Research Fellow Position: Health Equity Data Lab,"Notre Dame, NB",Reposted 1 week ago,On-site,Full-time,Mid-Senior Level
AXIS (AXIS Capital),Data Governance Analyst,"Halifax, NS",Reposted 5 days ago,Hybrid,Full-time,Mid-Senior Level
Affirm,"Analyst I, Growth Analytics","Regina, SK",Reposted 2 weeks ago,Remote,Full-time,Associate
Geotab,Senior Data Analyst,"Oakville, ON",Reposted 2 weeks ago,Hybrid,Full-time,Mid-Senior Level
National Bank of Canada,Chief Data Analyst,"Toronto, ON",20 hours ago,On-site,Full-time,Mid-Senior Level
Affirm,"Analyst II, Forecasting Analytics","Oshawa, ON",Reposted 1 week ago,Remote,Full-time,Associate
Outlier,AI Math Analyst,"Burlington, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level
Scotiabank - Global Banking and Markets,"Specialist, Data Analytics Engineering - Business Intelligence Data Analytics (Hybrid)","Scarborough, ON",1 month ago,Hybrid,Full-time,Mid-Senior Level
Outlier,AI Math Analyst,"Belleville, ON",2 weeks ago,Remote,Full-time,Mid-Senior Level
CGI,Salesforce Data Analyst,"Victoria, BC",Reposted 6 hours ago,,Full-time,Entry Level
Cooke Inc. ,Business Intelligence Analyst,"Saint John, NB",2 months ago,On-site,Full-time,Entry Level
Agilus Work Solutions,Asset Integrity Data Analyst - PCMS,Canada,2 hours ago,Remote,,
TELUS Digital AI Data Solutions,Online Data Analyst,"Nova Scotia, Canada",2 weeks ago,Remote,Part-time,Entry Level
Western Financial Group,Analyst- Business Intelligence,"Calgary, AB",Reposted 2 months ago,Remote,Full-time,Mid-Senior Level
Sobeys,"Senior Financial Analyst, Sourcing & Analytics","Stellarton, NS",2 weeks ago,Hybrid,Full-time,Mid-Senior Level
TextNow,"Staff Data Analyst, Core Experience","Waterloo, ON",Reposted 2 weeks ago,Remote,Full-time,Mid-Senior Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Saskatchewan, Canada",3 weeks ago,Remote,Part-time,Entry Level
Verafin,Verafin - Data Processing Analyst (PST),"St John’s, NL",1 week ago,Hybrid,Full-time,Associate
TELUS Digital AI Data Solutions,Online Data Analyst,"Yukon, YT",2 weeks ago,Remote,Part-time,Entry Level
Affirm,"Analyst II, Forecasting Analytics","Hamilton, ON",Reposted 1 week ago,Remote,Full-time,Associate
Toromont Cat,Web Analytics Specialist,"Vaughan, Ontario, Canada",2 weeks ago,On-site,Full-time,Mid-Senior Level
TELUS Digital,Online Data Analyst,"Vaudreuil-Soulanges Regional County Municipality, QC",1 week ago,Remote,,Entry Level
Deloitte,"Senior Associate, Quantitative Market Risk Models - Financial Engineering & Modeling","Toronto, ON",Reposted 2 weeks ago,,Full-time,Mid-Senior Level
CGI,Cybersecurity Data Analyst,"Halifax, NS",4 days ago,,Full-time,Entry Level
Agoda,"Data Analyst (Bangkok Based, relocation provided)","Montreal, QC",Reposted 6 days ago,,Full-time,Associate
TELUS Digital AI Data Solutions,Online Data Analyst,"Brandon, MB",1 week ago,Remote,Part-time,Entry Level
Outlier,AI Math Analyst,"Kingston, ON",3 days ago,Remote,Full-time,Mid-Senior Level
"Varsity Tutors, a Nerdy Company",Remote Data Analysis Tutor,"Nova Scotia, Canada",Reposted 5 days ago,Remote,Full-time,Entry Level
Affirm,"Analyst I, Growth Analytics","Calgary, AB",Reposted 2 weeks ago,Remote,Full-time,Associate
Agoda,"Data Analyst (Bangkok Based, relocation provided)","Vancouver, BC",Reposted 1 week ago,,Full-time,Associate
Genetec,Analyste de données / Data Analyst - Power BI Developer,"Montreal, QC",1 week ago,Hybrid,Full-time,Mid-Senior Level
"Parrish & Heimbecker, Limited",Finance Data Analyst,"Hanover, ON",1 month ago,On-site,Full-time,Entry Level
Accenture,Data Engineering Senior Analyst,"Mississauga, ON",4 days ago,Hybrid,Full-time,Mid-Senior Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Nova Scotia, Canada",2 weeks ago,Remote,Part-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"New Brunswick, Canada",2 weeks ago,Remote,Part-time,Entry Level
TELUS Digital AI Data Solutions,Online Data Analyst,"Northwest Territories, Canada",1 week ago,Remote,Part-time,Entry Level
eStaffing Inc.,"As An Healthcare Admin, Are You Considering Pivoting Your Career To Data Analyst","Alberta, Canada",4 days ago,Remote,Full-time,Mid-Senior Level
eStaffing Inc.,Are You An Assembler Looking To Transition Your Career To Become Data Analyst,"Alberta, Canada",13 hours ago,Remote,Full-time,
